month,net_profit_pct,net_profit_inr,max_drawdown,win_rate,num_trades,stop_loss_pct,take_profit_pct,sharpe_ratio
2020-08,219.81,21980.67,31.55,31.37,51,0.01,0.06,2.293
2020-09,9.96,996.28,42.33,20.45,44,0.01,0.06,0.611
2020-10,199.98,19998.44,25.18,36.96,46,0.01,0.05,2.294
2020-11,-16.27,-1627.11,51.93,17.39,46,0.01,0.06,0.161
2020-12,31.46,3145.65,38.93,36.84,57,0.01,0.03,0.88
2021-01,53.72,5372.44,17.1,39.47,38,0.02,0.06,1.696
2021-02,13.31,1330.75,37.08,34.69,49,0.01,0.03,0.619
2021-03,-33.93,-3392.95,40.81,24.24,33,0.03,0.06,-1.786
2021-04,54.05,5405.33,39.32,25.0,44,0.01,0.06,1.174
2021-05,87.22,8721.65,21.16,54.24,59,0.01,0.02,1.796
2021-06,-14.58,-1458.29,37.23,18.6,43,0.01,0.06,0.045
2021-07,100.7,10069.94,22.94,36.0,50,0.01,0.04,1.718
2021-08,25.47,2547.3,11.3,52.63,19,0.03,0.06,1.271
2021-09,34.48,3448.3,44.76,22.45,49,0.01,0.06,0.892
2021-10,78.46,7845.55,40.43,31.94,72,0.01,0.04,1.361
2021-11,15.59,1558.81,34.67,24.0,50,0.01,0.05,0.652
2021-12,4.28,428.11,7.93,50.0,20,0.05,0.06,0.407
2022-01,78.83,7883.47,28.25,35.42,48,0.01,0.04,1.475
2022-02,62.93,6292.74,44.57,27.12,59,0.01,0.05,1.26
2022-03,8.02,801.51,10.33,50.0,18,0.04,0.06,0.614
2022-04,-36.06,-3605.79,38.14,25.81,31,0.04,0.05,-2.62
2022-05,104.96,10496.31,30.4,30.19,53,0.01,0.05,1.56
2022-06,12.03,1203.11,36.82,23.4,47,0.01,0.05,0.661
2022-07,64.04,6403.89,45.98,27.78,36,0.01,0.06,1.338
2022-08,76.2,7620.03,23.23,33.33,60,0.01,0.04,1.36
2022-09,7.46,745.82,13.57,51.85,27,0.03,0.04,0.509
2022-10,49.13,4913.46,35.28,25.0,36,0.01,0.06,1.079
2022-11,23.96,2396.23,27.28,34.21,38,0.02,0.06,0.903
2022-12,-8.52,-852.44,35.24,25.45,55,0.01,0.04,0.198
2023-01,5.23,522.75,53.32,20.0,55,0.01,0.06,0.513
2023-02,230.15,23015.44,27.67,40.48,42,0.01,0.05,2.527
2023-03,13.44,1344.27,39.71,23.21,56,0.01,0.05,0.648
2023-04,-2.6,-260.14,42.64,32.14,56,0.01,0.03,0.323
2023-05,39.71,3971.25,31.81,30.61,49,0.01,0.04,1.024
2023-06,129.75,12974.6,44.08,37.04,54,0.01,0.04,2.035
2023-07,225.54,22554.42,31.29,37.5,48,0.01,0.05,2.529
2023-08,152.4,15240.26,36.29,33.33,51,0.01,0.05,2.049
2023-09,-9.54,-954.17,35.03,30.3,33,0.02,0.05,-0.129
2023-10,104.89,10489.05,35.41,36.96,46,0.01,0.04,1.587
2023-11,-6.18,-618.46,21.78,40.0,25,0.04,0.06,-0.302
2023-12,157.13,15712.93,38.01,30.0,50,0.01,0.06,2.039
2024-01,150.03,15003.08,30.9,31.11,45,0.01,0.06,2.069
2024-02,-19.45,-1944.65,25.81,28.57,21,0.04,0.06,-1.494
2024-03,-0.41,-41.13,34.51,38.46,39,0.02,0.04,0.186
2024-04,41.53,4153.39,46.64,30.0,60,0.01,0.04,1.008
2024-05,32.7,3269.62,37.81,37.25,51,0.01,0.03,0.889
2024-06,10.61,1061.38,51.71,20.41,49,0.01,0.06,0.612
2024-07,94.99,9498.91,37.14,31.82,44,0.01,0.05,1.626
2024-08,153.02,15302.04,40.52,37.93,58,0.01,0.04,2.027
2024-09,37.32,3731.76,48.12,26.0,50,0.01,0.05,0.942
2024-10,76.24,7624.27,31.77,28.95,38,0.01,0.06,1.368
2024-11,74.97,7497.06,39.27,41.51,53,0.01,0.03,1.349
2024-12,24.01,2401.41,31.84,21.74,46,0.01,0.06,0.768
2025-01,132.49,13249.46,39.78,38.3,47,0.01,0.04,1.816
2025-02,34.73,3472.72,34.32,24.39,41,0.01,0.06,0.981
2025-03,21.01,2100.73,11.07,62.5,16,0.04,0.06,1.313
2025-04,10.99,1099.46,22.35,35.9,39,0.02,0.05,0.563
2025-05,232.57,23257.31,33.92,40.98,61,0.01,0.04,2.379
2025-06,5.13,513.15,22.25,33.33,24,0.02,0.06,0.39
2025-07,5.09,509.46,36.05,23.91,46,0.01,0.05,0.455
2025-08,-17.55,-1754.68,22.55,34.78,23,0.05,0.06,-1.372
