combination_id,stop_loss_pct,take_profit_pct,position_size,imbalance_threshold,in_sharpe,out_sharpe,in_total_pnl,out_total_pnl,in_max_dd,out_max_dd,in_win_rate,out_win_rate,in_trades,out_trades,in_volatility,out_volatility,in_profit_factor,out_profit_factor
0,0.01,0.02,0.001,0.0002,-1.6982218511358138,-0.9805328739843655,-21.118452620331304,-5.597572690685333,25.33873085792402,9.550814444408388,0.34,0.4642857142857143,50,28,0.002642501293596868,0.0027331442565532793,0.5025407971582604,0.7154617797257113
1,0.01,0.02,0.001,0.0005,-1.6982218511358138,-0.9805328739843655,-21.118452620331304,-5.597572690685333,25.33873085792402,9.550814444408388,0.34,0.4642857142857143,50,28,0.002642501293596868,0.0027331442565532793,0.5025407971582604,0.7154617797257113
2,0.01,0.02,0.002,0.0002,-1.6975861067163025,-0.9798714944118239,-42.23690524066261,-11.195145381370667,50.67746171584986,19.101628888816776,0.34,0.4642857142857143,50,28,0.00529108746525023,0.005468829742302936,0.5025407971582604,0.7154617797257113
3,0.01,0.02,0.002,0.0005,-1.6975861067163025,-0.9798714944118239,-42.23690524066261,-11.195145381370667,50.67746171584986,19.101628888816776,0.34,0.4642857142857143,50,28,0.00529108746525023,0.005468829742302936,0.5025407971582604,0.7154617797257113
4,0.01,0.025,0.001,0.0002,-1.3984905478982452,-1.059326762654426,-17.713740980466095,-5.912401067386562,22.030164760280968,8.757244369144246,0.34,0.4444444444444444,50,27,0.0026835944460220696,0.0026801701396639128,0.5827410451936097,0.6994582884003591
5,0.01,0.025,0.001,0.0005,-1.3984905478982452,-1.059326762654426,-17.713740980466095,-5.912401067386562,22.030164760280968,8.757244369144246,0.34,0.4444444444444444,50,27,0.0026835944460220696,0.0026801701396639128,0.5827410451936097,0.6994582884003591
6,0.01,0.025,0.002,0.0002,-1.3978006379061643,-1.0587497030523865,-35.42748196093219,-11.824802134773124,44.060329520565574,17.51448873829395,0.34,0.4444444444444444,50,27,0.005372760053617327,0.005362455062034913,0.5827410451936097,0.6994582884003591
7,0.01,0.025,0.002,0.0005,-1.3978006379061643,-1.0587497030523865,-35.42748196093219,-11.824802134773124,44.060329520565574,17.51448873829395,0.34,0.4444444444444444,50,27,0.005372760053617327,0.005362455062034913,0.5827410451936097,0.6994582884003591
8,0.01,0.03,0.001,0.0002,-1.3040291433931963,-0.9339841883427719,-17.118250934212305,-5.353607759090736,22.627602282096632,9.114975163489362,0.34,0.4444444444444444,50,27,0.0027794217106617033,0.002737283138743905,0.5967682094482676,0.7278631099595786
9,0.01,0.03,0.001,0.0005,-1.3040291433931963,-0.9339841883427719,-17.118250934212305,-5.353607759090736,22.627602282096632,9.114975163489362,0.34,0.4444444444444444,50,27,0.0027794217106617033,0.002737283138743905,0.5967682094482676,0.7278631099595786
10,0.01,0.03,0.002,0.0002,-1.303263999402633,-0.9334107626583122,-34.23650186842461,-10.707215518181473,45.25520456419508,18.22995032698418,0.34,0.4444444444444444,50,27,0.005564766375474123,0.005476580618001757,0.5967682094482676,0.7278631099595786
11,0.01,0.03,0.002,0.0005,-1.303263999402633,-0.9334107626583122,-34.23650186842461,-10.707215518181473,45.25520456419508,18.22995032698418,0.34,0.4444444444444444,50,27,0.005564766375474123,0.005476580618001757,0.5967682094482676,0.7278631099595786
12,0.015,0.02,0.001,0.0002,-1.6798344786078354,-1.4617541276778883,-23.92912151998883,-8.740832619776809,29.918719465538743,13.535359239322133,0.41304347826086957,0.52,46,25,0.0030322881783211714,0.0029206939109118527,0.49964208889393874,0.585074669361471
13,0.015,0.02,0.001,0.0005,-1.6798344786078354,-1.4617541276778883,-23.92912151998883,-8.740832619776809,29.918719465538743,13.535359239322133,0.41304347826086957,0.52,46,25,0.0030322881783211714,0.0029206939109118527,0.49964208889393874,0.585074669361471
14,0.015,0.02,0.002,0.0002,-1.6790426124655065,-1.4609269223445502,-47.85824303997766,-17.481665239553617,59.8374389310884,27.070718478649724,0.41304347826086957,0.52,46,25,0.006072745663183704,0.005845165030966149,0.49964208889393874,0.585074669361471
15,0.015,0.02,0.002,0.0005,-1.6790426124655065,-1.4609269223445502,-47.85824303997766,-17.481665239553617,59.8374389310884,27.070718478649724,0.41304347826086957,0.52,46,25,0.006072745663183704,0.005845165030966149,0.49964208889393874,0.585074669361471
16,0.015,0.025,0.001,0.0002,-1.6702738019329886,-1.1260669432558064,-24.092407672373923,-6.925756760495893,29.96118270191255,12.942911281184934,0.391304347826087,0.52,46,25,0.003070721753647636,0.0029761268477947428,0.5143565905205398,0.6712359063747677
17,0.015,0.025,0.001,0.0005,-1.6702738019329886,-1.1260669432558064,-24.092407672373923,-6.925756760495893,29.96118270191255,12.942911281184934,0.391304347826087,0.52,46,25,0.003070721753647636,0.0029761268477947428,0.5143565905205398,0.6712359063747677
18,0.015,0.025,0.002,0.0002,-1.6694003890846947,-1.1252658098368962,-48.18481534474785,-13.851513520991785,59.92236540383601,25.885822562373505,0.391304347826087,0.52,46,25,0.006150048466230446,0.005955779377110548,0.5143565905205398,0.6712359063747677
19,0.015,0.025,0.002,0.0005,-1.6694003890846947,-1.1252658098368962,-48.18481534474785,-13.851513520991785,59.92236540383601,25.885822562373505,0.391304347826087,0.52,46,25,0.006150048466230446,0.005955779377110548,0.5143565905205398,0.6712359063747677
